tau=0.01,tau=0.05,tau=0.1,tau=0.5,tau=1,tau=5,naive
0.7067797300582238,0.4685685646996155,0.5848495818650835,0.03946953684500096,0.5295415714837988,0.5247448564220973,0.00012274940350209818
0.6713385825891581,0.5131458019820748,0.6768700844181262,0.7691714123946618,0.6870316008522261,0.6383746649047805,0.0006972699980702934
0.4316158122875899,0.18908972240725924,0.3801481394606738,0.0875565428864306,0.23786463747589262,0.2858330435619026,1.8492704341177557e-05
0.004602624683824487,0.14311048435801355,0.14698333759944748,0.5851674290911786,0.11407667667488536,0.11536075670889621,2.8803259366494416e-07
0.8122501243337741,0.6116302307332404,0.5020114219240858,0.6517128578932324,0.7126339468944717,0.8010779052909144,0.0001848659254717333
0.5111660915180378,0.6007155364942091,0.6239008461975855,0.28847620823125114,0.14070708529269624,0.02523725695212556,0.03726728852918482
0.36058749709243093,0.1775128545232996,0.9068686042120219,0.714943048035041,0.8468081145075346,0.48843061029379553,5.49026871062841e-05
0.4034867898210314,0.7903075243367004,0.8328027762452992,0.5693172251396823,0.5280152093327216,0.061967254784837986,0.03932947831417355
0.3514644628930656,0.2749191583127495,0.05687445217240577,0.14427628480547597,0.694099535213046,0.14040036068415415,0.0038127204029843043
0.8580211162952497,0.70767613091487,0.5735285857447364,0.03982497117646446,0.24100739884880382,0.6737321150355494,9.71862355008124e-05
0.36264475166756527,0.91045884445581,0.04555951241597439,0.24961737120344055,0.08872024005780273,0.24869836199744141,1.9934141744282208e-05
0.22310877886615088,0.08664253243864087,0.8892199959548378,0.45942304485044894,0.03843472523401462,0.42388761854907325,0.0029741336444168986
0.5571096085430516,0.7714955562330588,0.9760622348960516,0.6817438714197747,0.231195197837427,0.5387338799501333,0.014484338208441305
0.886848617730358,0.6470437007252707,0.4733209964116387,0.8356154941626407,0.9081631984764345,0.658822140184747,3.329049880207435e-08
0.08829348867557403,0.647207768155442,0.5891464823693292,0.3074327330819363,0.7223214232225824,0.10874662580677141,1.132946692794512e-06
