,Tau,Method,ARI
803,0.1,Randomized,0.0
804,0.25,Randomized,0.0
805,0.5,Randomized,0.0
806,1.0,Randomized,0.0
807,5.0,Randomized,-0.034858387799564274
808,0.0,Naive,1.0
809,0.025,Randomized,1.0
810,0.05,Randomized,1.0
811,0.1,Randomized,1.0
812,0.25,Randomized,1.0
813,0.5,Randomized,0.6208425720620843
814,1.0,Randomized,0.2191780821917808
815,5.0,Randomized,-0.019313304721030045
816,0.0,Naive,1.0
817,0.025,Randomized,1.0
818,0.05,Randomized,1.0
819,0.1,Randomized,1.0
820,0.25,Randomized,0.7995558023320377
821,0.5,Randomized,0.7995558023320377
822,1.0,Randomized,0.0
823,5.0,Randomized,0.0
824,0.0,Naive,1.0
825,0.025,Randomized,1.0
826,0.05,Randomized,1.0
827,0.1,Randomized,0.0
828,0.25,Randomized,1.0
829,0.5,Randomized,0.0
830,1.0,Randomized,0.2191780821917808
831,5.0,Randomized,-0.004405286343612335
832,0.0,Naive,1.0
833,0.025,Randomized,1.0
834,0.05,Randomized,1.0
835,0.1,Randomized,1.0
836,0.25,Randomized,0.02145922746781116
837,0.5,Randomized,0.3303964757709251
838,1.0,Randomized,-0.011086474501108648
839,5.0,Randomized,-0.04441976679622432
