,Tau,Method,WCSS/TSS
176,0.0,Naive,0.114300224728029
177,0.025,Randomized,0.114300224728029
178,0.05,Randomized,0.114300224728029
179,0.1,Randomized,0.114300224728029
180,0.25,Randomized,0.114300224728029
181,0.5,Randomized,0.8054572850651676
182,1.0,Randomized,0.7258444447587883
183,5.0,Randomized,0.8366906342359924
184,0.0,Naive,0.20732556009779868
185,0.025,Randomized,0.20732556009779868
186,0.05,Randomized,0.20732556009779868
187,0.1,Randomized,0.20732556009779868
188,0.25,Randomized,0.4423361712727325
189,0.5,Randomized,0.9534659371119991
190,1.0,Randomized,0.9534659371119991
191,5.0,Randomized,0.9922227614082869
192,0.0,Naive,0.14534953321404717
193,0.025,Randomized,0.14534953321404717
194,0.05,Randomized,0.14534953321404717
195,0.1,Randomized,0.14534953321404717
196,0.25,Randomized,0.14534953321404717
197,0.5,Randomized,0.9009463622347154
198,1.0,Randomized,0.9842006189052906
199,5.0,Randomized,0.9977288908315551
200,0.0,Naive,0.1618804165419779
201,0.025,Randomized,0.1618804165419779
202,0.05,Randomized,0.1618804165419779
203,0.1,Randomized,0.1618804165419779
204,0.25,Randomized,0.9267471640875563
205,0.5,Randomized,0.8741570613102279
206,1.0,Randomized,0.8286106372326021
207,5.0,Randomized,0.7821605288890904
208,0.0,Naive,0.1239200455089459
209,0.025,Randomized,0.1239200455089459
210,0.05,Randomized,0.1239200455089459
211,0.1,Randomized,0.1239200455089459
212,0.25,Randomized,0.1239200455089459
213,0.5,Randomized,0.8857082295775173
214,1.0,Randomized,0.7799694441223093
215,5.0,Randomized,0.9412919491408255
216,0.0,Naive,0.12136359505893991
217,0.025,Randomized,0.12136359505893991
218,0.05,Randomized,0.12136359505893991
219,0.1,Randomized,0.12136359505893991
220,0.25,Randomized,0.12136359505893991
221,0.5,Randomized,0.9461328418687621
222,1.0,Randomized,0.8406314067776121
223,5.0,Randomized,0.9800061717272655
224,0.0,Naive,0.11051062899143035
225,0.025,Randomized,0.11051062899143035
226,0.05,Randomized,0.11051062899143035
227,0.1,Randomized,0.11051062899143035
228,0.25,Randomized,0.23583734626199743
229,0.5,Randomized,0.9143381759811354
230,1.0,Randomized,0.7366848091158357
231,5.0,Randomized,0.9787031231486765
232,0.0,Naive,0.1687363951818838
233,0.025,Randomized,0.1687363951818838
