tau,delta,effect_size,reject
0.0,18.125,1.8156391170032902,1
0.0,18.125,1.935714744954166,1
0.0,18.125,1.9388123539082498,1
0.0,18.125,1.9504223560340532,1
0.0,18.125,1.9253653180138368,1
0.0,18.125,1.8750779101776542,1
0.0,18.125,1.9250143097178343,1
0.0,20.0,1.9880563318834907,1
0.0,20.0,1.9181870633704758,1
0.0,20.0,1.9933461432827833,1
0.0,20.0,1.9603739122571031,1
0.0,20.0,1.8934662022610111,1
0.0,20.0,1.889517946924806,1
0.0,20.0,1.890134841146734,1
0.0,20.0,1.7990517300492317,1
0.0,20.0,1.8718590542556262,1
0.0,20.0,1.9464198013387728,1
0.0,20.0,1.9931911478482078,1
0.0,20.0,1.9534627007972827,1
0.0,20.0,2.004176223020374,1
0.0,20.0,1.9249106242134226,1
0.0,20.0,1.9736758246469261,1
0.0,20.0,1.9535588989386732,1
0.0,20.0,2.0170004874598124,1
0.0,20.0,1.9564939919446875,1
0.0,20.0,1.8749282854198177,1
0.0,20.0,1.900239694063352,1
0.0,20.0,1.9238259402870614,1
0.0,20.0,1.8950513541835936,1
0.0,20.0,1.9965426928559706,1
0.0,20.0,1.912348393399871,1
0.0,20.0,1.9617440984052061,1
0.0,20.0,2.0008305175345775,1
0.0,20.0,1.8933332477609643,1
0.0,20.0,1.9279777261427176,1
0.0,20.0,1.9298654417917025,1
0.0,20.0,1.9292844094835189,1
0.01,5.0,1.6411515307574511,1
0.01,5.0,1.4493994770639205,1
0.01,5.0,1.4851234673071096,1
0.01,5.0,1.7939951997633876,1
0.01,5.0,1.732341268000601,1
0.01,5.0,1.6756725208391303,1
0.01,5.0,1.6355911411559791,1
0.01,5.0,1.7043796334616308,1
0.01,5.0,1.521928379485357,0
0.01,5.0,1.5712797427307115,1
0.01,5.0,1.455788981049758,1
0.01,5.0,1.593258434899246,0
0.01,5.0,1.6139824588732732,1
0.01,5.0,1.4888202997621816,1
0.01,5.0,1.5139952043459588,1
0.01,5.0,1.6522036120475423,1
0.01,5.0,1.705373151790041,1
0.01,5.0,1.6135339371497563,1
