,delta,Tau,Method,Recovery
839,2,0.1,Randomized,0
840,2,0.0,Naive,0
841,2,0.1,Randomized,0
842,2,0.0,Naive,0
843,2,0.1,Randomized,0
844,2,0.0,Naive,0
845,2,0.1,Randomized,0
846,2,0.0,Naive,0
847,2,0.1,Randomized,0
848,2,0.0,Naive,0
849,2,0.1,Randomized,0
850,2,0.0,Naive,0
851,2,0.1,Randomized,0
852,2,0.0,Naive,0
853,2,0.1,Randomized,0
854,2,0.0,Naive,0
855,2,0.1,Randomized,0
856,2,0.0,Naive,0
857,2,0.1,Randomized,0
858,2,0.0,Naive,0
859,2,0.1,Randomized,0
860,2,0.0,Naive,0
861,2,0.1,Randomized,0
862,2,0.0,Naive,0
863,2,0.1,Randomized,0
864,2,0.0,Naive,0
865,2,0.1,Randomized,0
866,2,0.0,Naive,0
867,2,0.1,Randomized,0
868,2,0.0,Naive,0
869,2,0.1,Randomized,0
870,2,0.0,Naive,0
871,2,0.1,Randomized,0
872,2,0.0,Naive,0
873,2,0.1,Randomized,0
874,2,0.0,Naive,0
875,2,0.1,Randomized,0
876,2,0.0,Naive,0
877,2,0.1,Randomized,0
878,2,0.0,Naive,0
879,2,0.1,Randomized,0
880,2,0.0,Naive,0
881,2,0.1,Randomized,0
882,2,0.0,Naive,0
883,2,0.1,Randomized,0
884,2,0.0,Naive,0
885,2,0.1,Randomized,0
886,2,0.0,Naive,0
887,2,0.1,Randomized,0
888,2,0.0,Naive,0
889,2,0.1,Randomized,0
890,2,0.0,Naive,0
891,2,0.1,Randomized,0
892,2,0.0,Naive,0
893,2,0.1,Randomized,0
894,2,0.0,Naive,0
895,2,0.1,Randomized,0
896,2,0.0,Naive,0
897,2,0.1,Randomized,0
898,2,0.0,Naive,0
899,2,0.1,Randomized,0
900,2,0.0,Naive,0
901,2,0.1,Randomized,0
902,2,0.0,Naive,0
903,2,0.1,Randomized,0
904,2,0.0,Naive,0
905,2,0.1,Randomized,0
906,2,0.0,Naive,0
907,2,0.1,Randomized,0
908,2,0.0,Naive,0
909,2,0.1,Randomized,0
910,2,0.0,Naive,0
911,2,0.1,Randomized,0
912,2,0.0,Naive,0
913,2,0.1,Randomized,0
914,2,0.0,Naive,0
915,2,0.1,Randomized,0
916,2,0.0,Naive,0
917,2,0.1,Randomized,0
918,2,0.0,Naive,0
919,2,0.1,Randomized,0
920,2,0.0,Naive,0
921,2,0.1,Randomized,0
922,2,0.0,Naive,0
923,2,0.1,Randomized,0
924,2,0.0,Naive,0
925,2,0.1,Randomized,0
926,2,0.0,Naive,0
927,2,0.1,Randomized,0
928,2,0.0,Naive,0
929,2,0.1,Randomized,0
930,2,0.0,Naive,0
931,2,0.1,Randomized,0
932,2,0.0,Naive,0
933,2,0.1,Randomized,0
934,2,0.0,Naive,0
935,2,0.1,Randomized,0
936,2,0.0,Naive,0
937,2,0.1,Randomized,0
938,2,0.0,Naive,0
939,2,0.1,Randomized,0
940,2,0.0,Naive,0
941,2,0.1,Randomized,0
942,2,0.0,Naive,0
943,2,0.1,Randomized,0
944,2,0.0,Naive,0
945,2,0.1,Randomized,0
946,2,0.0,Naive,0
947,2,0.1,Randomized,0
948,2,0.0,Naive,0
949,2,0.1,Randomized,0
950,2,0.0,Naive,0
951,2,0.1,Randomized,0
952,2,0.0,Naive,0
953,2,0.1,Randomized,0
954,2,0.0,Naive,0
